Eggs,Current Price,Orignal Price,Amount in dz,True Amount,Brand,Address,State,City,Zip Code,Date Collected,Url
Fresh Thyme Cage Free Organic Medium Grade A Brown Eggs - 1.5 Each,6.99,6.99,1.5,1.5 dz,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Large Grade A White Eggs - 1.5 Each,5.49,5.49,1.5,1.5 dz,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Large Grade A White Eggs - 1 Each,3.99,3.99,1.0,1 dz,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Large Grade A Brown Eggs - 1 Each,3.99,3.99,1.0,1 dz,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Jumbo Grade A Brown Eggs - 1 Each,4.79,4.79,1.0,1 dz,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Eggland's Best Cage Free Large Brown Eggs - 1 Each,5.29,5.29,1.0,1 dz,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Eggland's Best Organic Large Brown Eggs - 1 Each,6.99,6.99,1.0,1 dz,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Born Free Large Brown Free Range Eggs - 12 Each,5.49,5.49,1.0,1 dz,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Happy Egg Heritage Breed Eggs - 1 Each,7.49,8.99,1.0,1 dz,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Happy Egg Free Range Large Grade A Brown Eggs - 1 Each,5.49,6.49,1.0,1 dz,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Happy Egg Free Range Eggs 18ct - 1.5 Each,7.99,8.99,1.5,1.5 dz,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Penny Smart Large Grade A White Eggs - 1 Each,2.99,2.99,1.0,1 dz,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Happy Egg Organic Free Range Large Grade A Eggs - 1 Each,6.99,7.49,1.0,1 dz,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Vital Farms Pasture Raised Large Eggs - 1 Each,6.49,8.99,1.0,1 dz,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Vital Farms Organic Pasture Raised Large Eggs - 1 Each,7.49,9.99,1.0,1 dz,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Organic Large Grade A Brown Eggs - 1 Each,5.99,5.99,1.0,1 dz,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Handsome Brook Farm Organic Pasture Raised Eggs - 1 Each,5.99,6.49,1.0,1 dz,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
