Bacon,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Address,State,City,Zip Code,Date Collected,Url
HARDWOOD UNCURED BACON,10.99,10.99,0.75,Size: 12 OZ,DM BACON CO,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18483
APPLEWOOD SMOKED BACON,10.99,10.99,0.75,Size: 12 OZ,DES MOINES BACON CO.,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18485
SLICED SLAB BACON,9.99,9.99,1.0,9.99/lb,WEBSTER CITY,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-24190
BERKWOOD APPLEWOOD BACON,11.99,11.99,,11.99/ea,BERKWOOD FARMS,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18553
BERKWOOD HICKORY BACON,12.99,12.99,0.75,Size: 12 OZ,BERKWOOD FARMS,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-33732
UNCURED CANADIAN BACON,9.99,9.99,0.4375,Size: 7 OZ,NIMAN RANCH,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18521
BACK BACON,9.99,9.99,0.5,Size: 8 OZ,JOLLY POSH,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18548
SMOKED SLICED BACON,13.99,13.99,0.75,Size: 12 OZ,NUESKE,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18469
PECANWOOD BACON,10.99,10.99,0.75,Size: 12 OZ,BERKWOOD FARMS,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-33734
PEPPERED BACON,12.99,12.99,0.75,Size: 12 OZ,BERKWOOD FARMS,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-33736
NO SUGAR BACON,12.99,12.99,0.75,Size: 12 OZ,BERKWOOD FARMS,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-33731
BACON HICKORY SMOKED,8.99,8.99,0.75,Size: 12 OZ,DE BRUIN RANCH,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-29349
NIMAN RANCH UNCURED BACON,12.99,12.99,0.75,Size: 12 OZ,NIMAN RANCH,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18524
