Pork (Bacon),Current Price,Sale,Unit Price,Store Location,Url
Boar's Head Uncured Kielbasa - 16 Ounce,$7.99,,$0.50/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/boars-head-uncured-kielbasa-00042421140064
Boar's Head Uncured Beef Knockwurst - 16 Ounce,$7.99,,$0.50/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/boars-head-uncured-beef-knockwurst-00042421000085
Boar's Head Uncured Cocktail Frankfurters - 12 Ounce,$5.99,,$0.50/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/boars-head-uncured-cocktail-frankfurters-00042421044171
Boar's Head Uncured Beef Frankfurters - 14 Ounce,$7.99,,$0.57/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/boars-head-uncured-beef-frankfurters-00042421140088
Boar's Head Uncured Beef Frankfurters - 14 Ounce,$7.99,,$0.57/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/boars-head-uncured-beef-frankfurters-00042421140088
Boar's Head Uncured Beef Frankfurters - 1 Each,$5.49,was $5.99,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/boars-head-uncured-beef-frankfurters-00042421140033
Boar's Head Superiore Uncured Chorizo Spanish Style Sausage - 8 Ounce,$7.99,,$1.00/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/boars-head-superiore-uncured-chorizo-spanish-style-sausage-00042421162097
Boar's Head Breakfast Turkey Sausage - 6 Ounce,$4.99,,$0.83/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/boars-head-breakfast-turkey-sausage-00042421130799
Boar's Head Smoked Uncured Sausage - 16 Ounce,$7.49,,$0.47/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/boars-head-smoked-uncured-sausage-00042421003338
Boar's Head Hot Smoked Uncured Sausage - 16 Ounce,$7.99,,$0.50/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/boars-head-hot-smoked-uncured-sausage-00042421003659
Boar's Head Bratwurst - 16 Ounce,$8.29,,$0.52/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/boars-head-bratwurst-00042421246803
Boar's Head Uncured Beef Knockwurst - 16 Ounce,$7.99,,$0.50/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/boars-head-uncured-beef-knockwurst-00042421000085
Boar's Head Breakfast Chicken Sausage Links - 7 Ounce,$5.99,,$0.86/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/boars-head-breakfast-chicken-sausage-links-00042421140286
Boar's Head Superiore Uncured Chorizo Spanish Style Sausage - 8 Ounce,$7.99,,$1.00/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/boars-head-superiore-uncured-chorizo-spanish-style-sausage-00042421162097
Boar's Head Uncured Beef Frankfurters - 1 Each,$5.49,was $5.99,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/boars-head-uncured-beef-frankfurters-00042421140033
Boar's Head Smoked Uncured Sausage - 16 Ounce,$7.49,,$0.47/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/boars-head-smoked-uncured-sausage-00042421003338
Boar's Head Hot Smoked Uncured Sausage - 16 Ounce,$7.99,,$0.50/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/boars-head-hot-smoked-uncured-sausage-00042421003659
Boar's Head Breakfast Turkey Sausage - 6 Ounce,$4.99,,$0.83/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/boars-head-breakfast-turkey-sausage-00042421130799
Boar's Head Bratwurst - 16 Ounce,$8.29,,$0.52/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/boars-head-bratwurst-00042421246803
Boar's Head All Natural Robust Italian Chicken Sausages - 12 Ounce,$8.99,,$0.75/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/boars-head-all-natural-robust-italian-chicken-sausages-00042421140132
Boar's Head All Natural Chorizo Chicken Sausages - 12 Ounce,$8.99,,$0.75/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/boars-head-all-natural-chorizo-chicken-sausages-00042421140255
Boar's Head All Natural Chorizo Chicken Sausages - 12 Ounce,$8.99,,$0.75/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/boars-head-all-natural-chorizo-chicken-sausages-00042421140255
Boar's Head All Natural Breakfast Pork Sausage - 6 Ounce,$4.99,,$0.83/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/boars-head-all-natural-breakfast-pork-sausage-00042421140293
Boar's Head All Natural Honeycrisp Apple Chicken Sausages - 12 Ounce,$7.99,,$0.67/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/boars-head-all-natural-honeycrisp-apple-chicken-sausages-00042421140187
Boar's Head All Natural Breakfast Pork Sausage - 6 Ounce,$4.99,,$0.83/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/boars-head-all-natural-breakfast-pork-sausage-00042421140293
Bilinski's Organic Spinach & Spring Greens Chicken Sausage - 12 Ounce,$6.49,was $7.49,$0.54/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/bilinskis-organic-spinach-&-spring-greens-chicken-sausage-00071728071009
Bilinski's Organic Wild Mushrooms With Italian Herbs Chicken Sausage - 12 Ounce,$6.49,was $7.49,$0.54/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/bilinskis-organic-wild-mushrooms-with-italian-herbs-chicken-sausage-00071728071207
Boar's Head Breakfast Chicken Sausage Links - 7 Ounce,$5.99,,$0.86/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/boars-head-breakfast-chicken-sausage-links-00042421140286
Boar's Head All Natural Robust Italian Chicken Sausages - 12 Ounce,$8.99,,$0.75/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/boars-head-all-natural-robust-italian-chicken-sausages-00042421140132
Boar's Head All Natural Honeycrisp Apple Chicken Sausages - 12 Ounce,$7.99,,$0.67/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/boars-head-all-natural-honeycrisp-apple-chicken-sausages-00042421140187
Bilinski's Organic Mild Italian With Bell Peppers Chicken Sausage - 12 Ounce,$6.49,was $7.49,$0.54/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/bilinskis-organic-mild-italian-with-bell-peppers-chicken-sausage-00071728071153
Beyond Meat Beyond Sausage Hot Italian Style Plant-based Sausages - 14 Ounce,$6.99,was $8.99,$0.50/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/beyond-meat-beyond-sausage-hot-italian-style-plantbased-sausages-00852629004750
Applegate Naturals Uncured Turkey Hot Dogs - 10 Ounce,$5.99,,$0.60/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/applegate-naturals-uncured-turkey-hot-dogs-00025317775205
Beyond Meat Beyond Sausage Plant-based Original Brat Links - 14 Ounce,$6.99,was $8.99,$0.50/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/beyond-meat-beyond-sausage-plantbased-original-brat-links-00852629004774
Bilinski's Organic Wild Mushrooms With Italian Herbs Chicken Sausage - 12 Ounce,$6.49,was $7.49,$0.54/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/bilinskis-organic-wild-mushrooms-with-italian-herbs-chicken-sausage-00071728071207
Beyond Meat Beyond Sausage Plant-based Original Brat Links - 14 Ounce,$6.99,was $8.99,$0.50/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/beyond-meat-beyond-sausage-plantbased-original-brat-links-00852629004774
Bilinski's Organic Spinach & Spring Greens Chicken Sausage - 12 Ounce,$6.49,was $7.49,$0.54/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/bilinskis-organic-spinach-&-spring-greens-chicken-sausage-00071728071009
Bilinski's Organic Mild Italian With Bell Peppers Chicken Sausage - 12 Ounce,$6.49,was $7.49,$0.54/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/bilinskis-organic-mild-italian-with-bell-peppers-chicken-sausage-00071728071153
Beyond Meat Beyond Sausage Hot Italian Style Plant-based Sausages - 14 Ounce,$6.99,was $8.99,$0.50/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/beyond-meat-beyond-sausage-hot-italian-style-plantbased-sausages-00852629004750
Applegate Naturals Uncured Beef Hot Dogs - 10 Ounce,$5.79,,$0.58/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/applegate-naturals-uncured-beef-hot-dogs-00025317775304
Applegate Naturals Gluten Free Uncured Beef Corn Dogs - 10 Ounce,$7.99,,$0.80/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/applegate-naturals-gluten-free-uncured-beef-corn-dogs-00025317007214
Applegate Great Organic Uncured Beef Hot Dogs - 14 Ounce,$8.99,,$0.64/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/applegate-great-organic-uncured-beef-hot-dogs-00025317775700
Applegate Naturals Do Good Dog Uncured Beef Hot Dogs 6ct - 10 Ounce,$7.99,,$0.80/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/applegate-naturals-do-good-dog-uncured-beef-hot-dogs-6ct-00025317218603
Applegate Naturals Classic Pork Breakfast Sausage - 7 Ounce,$4.99,,$0.71/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/applegate-naturals-classic-pork-breakfast-sausage-00025317693004
Apple Bulk Chicken Sausage - 1 Pound,$4.99 avg/ea,,$4.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/apple-bulk-chicken-sausage-00201465000004
Applegate Naturals Chicken & Sage Breakfast Sausage - 7 Ounce,$4.99,,$0.71/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/applegate-naturals-chicken-&-sage-breakfast-sausage-00025317006972
Pederson's Natural Farms No Sugar Uncured Hickory Bacon - 10 Ounce,$6.99,was $7.49,$0.70/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/pedersons-natural-farms-no-sugar-uncured-hickory-bacon-00641227301404
Indiana Kitchen Hardwood Smoked Thick Cut Bacon - 16 Ounce,$6.49,,$0.41/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/indiana-kitchen-hardwood-smoked-thick-cut-bacon-00759199801249
Applegate Naturals Uncured Turkey Hot Dogs - 10 Ounce,$5.99,,$0.60/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/applegate-naturals-uncured-turkey-hot-dogs-00025317775205
Applegate Naturals Gluten Free Uncured Beef Corn Dogs - 10 Ounce,$7.99,,$0.80/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/applegate-naturals-gluten-free-uncured-beef-corn-dogs-00025317007214
Applegate Naturals Do Good Dog Uncured Beef Hot Dogs 6ct - 10 Ounce,$7.99,,$0.80/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/applegate-naturals-do-good-dog-uncured-beef-hot-dogs-6ct-00025317218603
Applegate Naturals Classic Pork Breakfast Sausage - 7 Ounce,$4.99,,$0.71/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/applegate-naturals-classic-pork-breakfast-sausage-00025317693004
Pederson's Natural Farms No Sugar Uncured Hickory Bacon - 10 Ounce,$6.99,was $7.49,$0.70/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/pedersons-natural-farms-no-sugar-uncured-hickory-bacon-00641227301404
Applegate Great Organic Uncured Beef Hot Dogs - 14 Ounce,$8.99,,$0.64/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/applegate-great-organic-uncured-beef-hot-dogs-00025317775700
Apple Bulk Chicken Sausage - 1 Pound,$4.99 avg/ea,,$4.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/apple-bulk-chicken-sausage-00201465000004
Indiana Kitchen Hardwood Smoked Thick Cut Bacon - 16 Ounce,$6.49,,$0.41/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/indiana-kitchen-hardwood-smoked-thick-cut-bacon-00759199801249
Deli Sliced Thick Cut Peppered Bacon In Bag - 3 Pound,$17.97 avg/ea,,$5.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/deli-sliced-thick-cut-peppered-bacon-in-bag-00201122000002
Applegate Naturals Chicken & Sage Breakfast Sausage - 7 Ounce,$4.99,,$0.71/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/applegate-naturals-chicken-&-sage-breakfast-sausage-00025317006972
Deli Sliced Thick Cut Peppered Bacon In Bag - 3 Pound,$17.97 avg/ea,,$5.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/deli-sliced-thick-cut-peppered-bacon-in-bag-00201122000002
Applegate Naturals Uncured Beef Hot Dogs - 10 Ounce,$5.79,,$0.58/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/applegate-naturals-uncured-beef-hot-dogs-00025317775304
Deli Sliced Thick Cut Applewood Bacon In Bag - 3 Pound,$17.97 avg/ea,,$5.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/deli-sliced-thick-cut-applewood-bacon-in-bag-00201121000003
Applegate Naturals Uncured Hickory Smoked Sunday Bacon - 8 Ounce,$6.49,,$0.81/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/applegate-naturals-uncured-hickory-smoked-sunday-bacon-00025317101004
Deli Sliced Thick Cut Applewood Bacon In Bag - 3 Pound,$17.97 avg/ea,,$5.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/deli-sliced-thick-cut-applewood-bacon-in-bag-00201121000003
Fresh Thyme Smoked Sliced Uncured Bacon - 12 Ounce,$6.49,,$0.54/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/fresh-thyme-smoked-sliced-uncured-bacon-00841330117590
Applegate Naturals Uncured Hickory Smoked Sunday Bacon - 8 Ounce,$6.49,,$0.81/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/applegate-naturals-uncured-hickory-smoked-sunday-bacon-00025317101004
Farm Promise Smoked Hardwood Uncured Bacon - 12 Ounce,$6.99,,$0.58/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/farm-promise-smoked-hardwood-uncured-bacon-00070919021601
Farm Promise Smoked Applewood Uncured Bacon - 12 Ounce,$6.99,,$0.58/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/farm-promise-smoked-applewood-uncured-bacon-00070919021595
Deli Sliced Thick Cut Peppered Bacon - 1 Pound,$5.99 avg/ea,,$5.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/deli-sliced-thick-cut-peppered-bacon-00201267000004
Fresh Thyme Smoked Sliced Uncured Bacon - 12 Ounce,$6.49,,$0.54/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/fresh-thyme-smoked-sliced-uncured-bacon-00841330117590
Boar's Head Naturally Smoked Traditional Bacon - 16 Ounce,$6.99,was $7.99,$0.44/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/boars-head-naturally-smoked-traditional-bacon-00042421225792
Deli Sliced Thick Cut Bacon In Bag - 3 Pound,$17.97 avg/ea,,$5.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/deli-sliced-thick-cut-bacon-in-bag-00201120000004
Deli Sliced Thick Cut Applewood Bacon - 1 Pound,$5.99 avg/ea,,$5.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/deli-sliced-thick-cut-applewood-bacon-00201249000008
Boar's Head Fully Cooked Traditional Bacon - 2.29 Ounce,$7.49,,$3.27/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/boars-head-fully-cooked-traditional-bacon-00042421014808
Boar's Head Canadian Style Uncured Bacon - 6 Ounce,$5.99,,$1.00/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/boars-head-canadian-style-uncured-bacon-00042421500875
Deli Sliced Thick Cut Bacon - 1 Pound,$5.99 avg/ea,,$5.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/deli-sliced-thick-cut-bacon-00201247000000
Pederson's Natural Farms Organic No Sugar Uncured Smoked Bacon - 8 Ounce,$7.49,,$0.94/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/pedersons-natural-farms-organic-no-sugar-uncured-smoked-bacon-00641227601405
Fresh Thyme Smoked Sliced Uncured Turkey Bacon - 12 Ounce,$4.69,,$0.39/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/fresh-thyme-smoked-sliced-uncured-turkey-bacon-00841330117606
Fresh Thyme Fully Cooked Uncured Turkey Bacon - 2.14 Ounce,$3.99,,$1.86/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/fresh-thyme-fully-cooked-uncured-turkey-bacon-00841330115077
Applegate Organics Uncured Hickory Smoked Turkey Bacon - 8 Ounce,$7.49,,$0.94/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/applegate-organics-uncured-hickory-smoked-turkey-bacon-00025317122009
Farm Promise Smoked Hardwood Uncured Bacon - 12 Ounce,$6.99,,$0.58/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/farm-promise-smoked-hardwood-uncured-bacon-00070919021601
Deli Sliced Thick Cut Peppered Bacon - 1 Pound,$5.99 avg/ea,,$5.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/deli-sliced-thick-cut-peppered-bacon-00201267000004
Farm Promise Smoked Applewood Uncured Bacon - 12 Ounce,$6.99,,$0.58/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/farm-promise-smoked-applewood-uncured-bacon-00070919021595
Indiana Kitchen Hardwood Smoked Bacon - 16 Ounce,$6.49,,$0.41/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/indiana-kitchen-hardwood-smoked-bacon-00759199801171
Deli Sliced Thick Cut Bacon In Bag - 3 Pound,$17.97 avg/ea,,$5.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/deli-sliced-thick-cut-bacon-in-bag-00201120000004
Deli Sliced Thick Cut Applewood Bacon - 1 Pound,$5.99 avg/ea,,$5.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/deli-sliced-thick-cut-applewood-bacon-00201249000008
Boar's Head Naturally Smoked Traditional Bacon - 16 Ounce,$6.99,was $7.99,$0.44/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/boars-head-naturally-smoked-traditional-bacon-00042421225792
Boar's Head Canadian Style Uncured Bacon - 6 Ounce,$5.99,,$1.00/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/boars-head-canadian-style-uncured-bacon-00042421500875
Boar's Head Fully Cooked Traditional Bacon - 2.29 Ounce,$7.49,,$3.27/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/boars-head-fully-cooked-traditional-bacon-00042421014808
Deli Sliced Thick Cut Bacon - 1 Pound,$5.99 avg/ea,,$5.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/deli-sliced-thick-cut-bacon-00201247000000
Pederson's Natural Farms Organic No Sugar Uncured Smoked Bacon - 8 Ounce,$7.49,,$0.94/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/pedersons-natural-farms-organic-no-sugar-uncured-smoked-bacon-00641227601405
Fresh Thyme Smoked Sliced Uncured Turkey Bacon - 12 Ounce,$4.69,,$0.39/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/fresh-thyme-smoked-sliced-uncured-turkey-bacon-00841330117606
Fresh Thyme Fully Cooked Uncured Turkey Bacon - 2.14 Ounce,$3.99,,$1.86/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/fresh-thyme-fully-cooked-uncured-turkey-bacon-00841330115077
Applegate Organics Uncured Hickory Smoked Turkey Bacon - 8 Ounce,$7.49,,$0.94/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/applegate-organics-uncured-hickory-smoked-turkey-bacon-00025317122009
Indiana Kitchen Hardwood Smoked Bacon - 16 Ounce,$6.49,,$0.41/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/indiana-kitchen-hardwood-smoked-bacon-00759199801171
Boar's Head Uncured Turkey Bacon - 12 Ounce,$6.99,,$0.58/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/boars-head-uncured-turkey-bacon-00042421130669
Boar's Head Uncured Turkey Bacon - 12 Ounce,$6.99,,$0.58/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/boars-head-uncured-turkey-bacon-00042421130669
