Carrots,Current Price,Sale,Unit Price,Store Location,Url
Organic Cut & Peeled Petite Carrots - 12 Ounce,$2.49,,$0.21/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-cut-&-peeled-petite-carrots-00078783908103
Organic Baby Peeled Carrots 2 Lb Bag - 1 Each,$3.89,,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-baby-peeled-carrots-2-lb-bag-00000000948230
Organic Juicing Carrots 25 Lb Bag - 25 Pound,$24.99,,$1.00/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-juicing-carrots-25-lb-bag-00000000948220
Organic Baby Peeled Carrots 2 Lb Bag - 1 Each,$3.89,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-baby-peeled-carrots-2-lb-bag-00000000948230
Organic Cut & Peeled Petite Carrots - 12 Ounce,$2.49,,$0.21/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-cut-&-peeled-petite-carrots-00078783908103
Organic Rainbow Baby Carrots - 12 Ounce,$2.49,,$0.21/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-rainbow-baby-carrots-00078783907267
Organic Rainbow Baby Carrots - 12 Ounce,$2.49,,$0.21/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-rainbow-baby-carrots-00078783907267
Organic Juicing Carrots 25 Lb Bag - 25 Pound,$24.99,,$1.00/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-juicing-carrots-25-lb-bag-00000000948220
Organic Bag Rainbow Carrots - 2 Pound,$3.49,,$1.75/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-bag-rainbow-carrots-00000000948250
Organic Shredded Carrots - 10 Ounce,$1.99,,$0.20/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-shredded-carrots-00078783524518
Organic Loose Carrots - 0.2 Pound,$0.20 avg/ea,,$0.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-loose-carrots-00000000945620
Organic Bunched Carrots - 1 Each,$2.49,,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-bunched-carrots-00000000940940
Organic Bag Carrots - 5 Pound,$5.99,,$1.20/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-bag-carrots-00000000948240
Organic Bag Carrots - 2 Pound,$2.49,,$1.25/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-bag-carrots-00000000945650
Organic Shredded Carrots - 10 Ounce,$1.99,,$0.20/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-shredded-carrots-00078783524518
Organic Bag Rainbow Carrots - 2 Pound,$3.49,,$1.75/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-bag-rainbow-carrots-00000000948250
Organic Bag Carrots - 16 Ounce,$1.49,,$0.09/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-bag-carrots-00000000945640
Organic Loose Carrots - 0.2 Pound,$0.20 avg/ea,,$0.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-loose-carrots-00000000945620
Organic Bag Carrots - 16 Ounce,$1.49,,$0.09/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-bag-carrots-00000000945640
Organic Bunched Carrots - 1 Each,$2.49,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-bunched-carrots-00000000940940
Organic Bag Carrots - 5 Pound,$5.99,,$1.20/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-bag-carrots-00000000948240
Organic Baby Carrots - 1 Pound,$1.50,was $1.89,$1.50/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-baby-carrots-00000000945600
Organic Bag Carrots - 2 Pound,$2.49,,$1.25/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-bag-carrots-00000000945650
Organic Baby Carrots - 1 Pound,$1.50,was $1.89,$1.50/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-baby-carrots-00000000945600
