All Tomatoes,Current Price,Sale,Unit Price,Store Location,Url
Organic On The Vine Cluster Tomatoes - 1.5 Pound,$5.99 avg/ea,,$3.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-on-the-vine-cluster-tomatoes-00000000946640
Wild Wonders Tomatoes - 12 Ounce,$3.99,,$0.33/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/wild-wonders-tomatoes-00057836020856
Organic Roma Tomatoes 1 Lb Bag - 1 Each,$2.99,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-roma-tomatoes-1-lb-bag-00428083471300
Organic Darkloom Tomato - 0.8 Pound,$3.99 avg/ea,,$4.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-darkloom-tomato-00000000948060
Organic Sangria Tomatoes - 10 Ounce,$3.99,,$0.40/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-sangria-tomatoes-00684924900280
Nature Sweet Cherub Tomatoes - 10 Ounce,$3.99,,$0.40/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/nature-sweet-cherub-tomatoes-00751666771550
Organic Grape Tomatoes Pint - 1 Each,$3.99,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-grape-tomatoes-pint-00000000948030
Organic Beefsteak Tomatoes - 10 Ounce,$3.99,,$0.40/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-beefsteak-tomatoes-00811717030040
Cocktail Tomatoes (campari) - 16 Ounce,$2.99,was $3.99,$0.19/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/cocktail-tomatoes-campari-00606105010656
Grape Tomatoes Pint - 1 Each,$2.99,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/grape-tomatoes-pint-00000000048030
Roma Tomatoes - 0.75 Pound,$1.19 avg/ea,,$1.59/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/roma-tomatoes-00000000040870
On The Vine Cluster Tomatoes - 0.8 Pound,$1.59 avg/ea,,$1.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/on-the-vine-cluster-tomatoes-00000000046640
Grape Tomatoes - 1.5 Pound,$4.99,,$3.33/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/grape-tomatoes-00057836020931
Beefsteak Tomatoes - 0.3 Pound,$0.60 avg/ea,,$1.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/beefsteak-tomatoes-00000000031510
Organic On The Vine Cluster Tomatoes - 1.5 Pound,$5.99 avg/ea,,$3.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-on-the-vine-cluster-tomatoes-00000000946640
Nature Sweet Cherub Tomatoes - 10 Ounce,$3.99,,$0.40/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/nature-sweet-cherub-tomatoes-00751666771550
Organic Grape Tomatoes Pint - 1 Each,$3.99,,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-grape-tomatoes-pint-00000000948030
Organic Roma Tomatoes 1 Lb Bag - 1 Each,$2.99,,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-roma-tomatoes-1-lb-bag-00428083471300
Wild Wonders Tomatoes - 12 Ounce,$3.99,,$0.33/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/wild-wonders-tomatoes-00057836020856
Organic Sangria Tomatoes - 10 Ounce,$3.99,,$0.40/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-sangria-tomatoes-00684924900280
Organic Darkloom Tomato - 0.8 Pound,$3.99 avg/ea,,$4.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-darkloom-tomato-00000000948060
Organic Beefsteak Tomatoes - 10 Ounce,$3.99,,$0.40/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-beefsteak-tomatoes-00811717030040
On The Vine Cluster Tomatoes - 0.8 Pound,$1.59 avg/ea,,$1.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/on-the-vine-cluster-tomatoes-00000000046640
Cocktail Tomatoes (campari) - 16 Ounce,$2.99,was $3.99,$0.19/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/cocktail-tomatoes-campari-00606105010656
Grape Tomatoes Pint - 1 Each,$2.99,,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/grape-tomatoes-pint-00000000048030
Roma Tomatoes - 0.75 Pound,$1.19 avg/ea,,$1.59/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/roma-tomatoes-00000000040870
Grape Tomatoes - 1.5 Pound,$4.99,,$3.33/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/grape-tomatoes-00057836020931
Beefsteak Tomatoes - 0.3 Pound,$0.60 avg/ea,,$1.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/beefsteak-tomatoes-00000000031510
