"","StoreID","Commodity","Price","Locality","FipsCode"
"1",23,"heirloom tomatoes",3.89,"NonLocal","131"
"2",2,"heirloom tomatoes",3.29,"Local","127"
"3",28,"heirloom tomatoes",5.21,"Local","169"
"4",22,"heirloom tomatoes",3.43,"Local","048"
"5",38,"heirloom tomatoes",4.64,"NonLocal","174"
"6",22,"heirloom tomatoes",4.9,"Local","113"
"7",1,"heirloom tomatoes",5.43,"Local","032"
"8",10,"heirloom tomatoes",3.87,"NonLocal","138"
"9",6,"heirloom tomatoes",5.54,"Local","010"
"10",16,"heirloom tomatoes",4.98,"Local","174"
"11",2,"heirloom tomatoes",5.21,"Local","104"
"12",23,"heirloom tomatoes",4.06,"Local","147"
"13",34,"heirloom tomatoes",5.64,"NonLocal","110"
"14",6,"heirloom tomatoes",5.42,"Local","160"
"15",40,"heirloom tomatoes",5.9,"Local","120"
"16",33,"heirloom tomatoes",4.7,"NonLocal","004"
"17",2,"heirloom tomatoes",3.77,"NonLocal","061"
"18",2,"heirloom tomatoes",4.22,"NonLocal","170"
"19",12,"heirloom tomatoes",4.19,"NonLocal","149"
"20",24,"heirloom tomatoes",4.45,"Local","110"
"21",34,"heirloom tomatoes",5.43,"NonLocal","186"
"22",16,"heirloom tomatoes",5.63,"Local","177"
"23",29,"heirloom tomatoes",3.63,"Local","017"
"24",11,"heirloom tomatoes",4.21,"NonLocal","184"
"25",31,"heirloom tomatoes",3.02,"NonLocal","084"
"26",37,"heirloom tomatoes",3.97,"Local","192"
"27",6,"heirloom tomatoes",3.59,"NonLocal","170"
"28",31,"heirloom tomatoes",3.53,"NonLocal","118"
"29",5,"heirloom tomatoes",3.03,"NonLocal","093"
"30",13,"heirloom tomatoes",5.31,"NonLocal","170"
"31",34,"heirloom tomatoes",5.67,"NonLocal","020"
"32",31,"heirloom tomatoes",5.02,"Local","093"
"33",4,"heirloom tomatoes",3.65,"NonLocal","121"
"34",22,"heirloom tomatoes",4.29,"Local","033"
"35",30,"heirloom tomatoes",3.8,"Local","177"
"36",32,"heirloom tomatoes",4.67,"NonLocal","006"
"37",6,"heirloom tomatoes",4,"NonLocal","017"
"38",35,"heirloom tomatoes",5.85,"Local","085"
"39",40,"heirloom tomatoes",4.57,"Local","090"
"40",40,"heirloom tomatoes",4.83,"NonLocal","082"
