Lettuce,Current Price,Sale,Unit Price,Store Location,Url
Iceberg Lettuce - 1 Each,$1.99,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/iceberg-lettuce-00000000040610
Josie's Organic Baby Lettuces - 5 Ounce,$3.99,,$0.80/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/josies-organic-baby-lettuces-00816554020445
Organic Red Leaf Lettuce - 1 Each,$2.99,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-red-leaf-lettuce-00000000940750
Red Leaf Lettuce - 1 Each,$1.99,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/red-leaf-lettuce-00000000040750
Josie's Organic Baby Lettuces - 5 Ounce,$3.99,,$0.80/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/josies-organic-baby-lettuces-00816554020445
Organic Red Leaf Lettuce - 1 Each,$2.99,,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-red-leaf-lettuce-00000000940750
Organic Romaine Lettuce - 1 Each,$2.99,,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-romaine-lettuce-00000000946400
Green Leaf Lettuce - 1 Each,$1.99,,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/green-leaf-lettuce-00000000040760
Organic Green Leaf Lettuce - 1 Each,$2.99,,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-green-leaf-lettuce-00000000940760
Organic Iceberg Lettuce - 1 Each,$2.99,,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-iceberg-lettuce-00000000940610
Romaine Lettuce - 1 Each,$1.99,,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/romaine-lettuce-00000000046400
Green Leaf Lettuce - 1 Each,$1.99,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/green-leaf-lettuce-00000000040760
Organic Green Leaf Lettuce - 1 Each,$2.99,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-green-leaf-lettuce-00000000940760
Organic Romaine Lettuce - 1 Each,$2.99,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-romaine-lettuce-00000000946400
Organic Iceberg Lettuce - 1 Each,$2.99,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-iceberg-lettuce-00000000940610
Romaine Lettuce - 1 Each,$1.99,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/romaine-lettuce-00000000046400
