,Bacon,Current Price,Original Price,Brand,Location,Url
0,HARDWOOD UNCURED BACON,$10.99/ea Product Price,,DM BACON CO,"2002 Woodland Avenue Des Moines, IA 50312",https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18483
1,APPLEWOOD SMOKED BACON,$10.99/ea Product Price,,DES MOINES BACON CO.,"2002 Woodland Avenue Des Moines, IA 50312",https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18485
2,SLICED SLAB BACON,$7.99/lb Sale Price,$9.99/lb,WEBSTER CITY,"2002 Woodland Avenue Des Moines, IA 50312",https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-24190
3,BERKWOOD APPLEWOOD BACON,$11.99/ea Product Price,,BERKWOOD FARMS,"2002 Woodland Avenue Des Moines, IA 50312",https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18553
4,BERKWOOD HICKORY BACON,$12.99/ea Product Price,,BERKWOOD FARMS,"2002 Woodland Avenue Des Moines, IA 50312",https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-33732
5,UNCURED CANADIAN BACON,$9.99/ea Product Price,,NIMAN RANCH,"2002 Woodland Avenue Des Moines, IA 50312",https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18521
6,BACK BACON,$9.99/ea Product Price,,JOLLY POSH,"2002 Woodland Avenue Des Moines, IA 50312",https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18548
7,SMOKED SLICED BACON,$13.99/ea Product Price,,NUESKE,"2002 Woodland Avenue Des Moines, IA 50312",https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18469
8,PECANWOOD BACON,$10.99/ea Product Price,,BERKWOOD FARMS,"2002 Woodland Avenue Des Moines, IA 50312",https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-33734
9,PEPPERED BACON,$12.99/ea Product Price,,BERKWOOD FARMS,"2002 Woodland Avenue Des Moines, IA 50312",https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-33736
10,NO SUGAR BACON,$12.99/ea Product Price,,BERKWOOD FARMS,"2002 Woodland Avenue Des Moines, IA 50312",https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-33731
11,BACON HICKORY SMOKED,$8.99/ea Product Price,,DE BRUIN RANCH,"2002 Woodland Avenue Des Moines, IA 50312",https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-29349
12,NIMAN RANCH UNCURED BACON,$12.99/ea Product Price,,NIMAN RANCH,"2002 Woodland Avenue Des Moines, IA 50312",https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18524
13,BERKWOOD BACON CHEDDAR BRATS,$10.99/ea Product Price,,BERKWOOD FARMS,"2002 Woodland Avenue Des Moines, IA 50312",https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-24260
14,BABY BACK RIBS,$7.99/lb Product Price,,DM BACON CO,"2002 Woodland Avenue Des Moines, IA 50312",https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-24163
15,UNCURED ALL BEEF HOT DOG,$6.99/ea Product Price,,DES MOINES BACON CO.,"2002 Woodland Avenue Des Moines, IA 50312",https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18482
